FIPS,Name,PovertyEstimate,PovertyPercent,MedianHouseholdIncome
00000,United States,48208387.0,15.5,53657.0
01000,Alabama,905682.0,19.2,42917.0
01001,Autauga County,7204.0,13.1,54366.0
01003,Baldwin County,25696.0,13.0,49626.0
01005,Barbour County,5943.0,25.4,34971.0
01007,Bibb County,3666.0,18.1,39546.0
01009,Blount County,10000.0,17.5,45567.0
01011,Bullock County,3179.0,35.1,26580.0
01013,Butler County,4988.0,25.0,32512.0
01015,Calhoun County,23114.0,20.5,41123.0
01017,Chambers County,7170.0,21.3,34116.0
01019,Cherokee County,4768.0,18.6,38013.0
01021,Chilton County,7874.0,18.1,41450.0
01023,Choctaw County,3293.0,25.0,35049.0
01025,Clarke County,6137.0,24.9,36620.0
01027,Clay County,2592.0,19.5,35940.0
01029,Cleburne County,2527.0,17.0,40418.0
01031,Coffee County,8407.0,16.8,46931.0
01033,Colbert County,9022.0,16.7,43057.0
01035,Conecuh County,3846.0,30.6,29101.0
01037,Coosa County,1976.0,18.8,34679.0
01039,Covington County,7778.0,20.8,36149.0
01041,Crenshaw County,2929.0,21.2,34445.0
01043,Cullman County,13809.0,17.2,39922.0
01045,Dale County,10865.0,22.4,41940.0
01047,Dallas County,14470.0,35.2,26602.0
01049,DeKalb County,16856.0,24.0,36241.0
01051,Elmore County,10867.0,14.4,54298.0
01053,Escambia County,8639.0,25.1,37077.0
01055,Etowah County,19291.0,19.0,39904.0
01057,Fayette County,3425.0,20.6,35664.0
01059,Franklin County,7222.0,23.1,33881.0
01061,Geneva County,6303.0,23.9,34425.0
01063,Greene County,2819.0,33.2,26504.0
01065,Hale County,4182.0,28.1,33315.0
01067,Henry County,2925.0,17.3,39930.0
01069,Houston County,20643.0,20.1,40124.0
01071,Jackson County,11440.0,22.0,36923.0
01073,Jefferson County,125778.0,19.5,44852.0
01075,Lamar County,2856.0,20.6,34553.0
01077,Lauderdale County,17041.0,18.7,41324.0
01079,Lawrence County,5499.0,16.6,41574.0
