STATE,COUNTY,FIPS,TotPop,public,domestic,industrial,crops,golf,livestock,aquaculture,mining,thermoelectric,total
AL,Autauga County,01001,54.571,5.09,0.37,41.03,2.88,0.06,0.15,0,0.13,5.84,55.55
AL,Baldwin County,01003,182.265,22.97,1.71,0,37.37,1.59,0.35,0.16,0.21,0,64.36
AL,Barbour County,01005,27.457,4.15,0.15,1.58,1.98,0.19,0.38,2.43,0.19,0,11.05
AL,Bibb County,01007,22.915,4.89,0.15,0,0.63,0.06,0.07,1.45,0.36,0,7.61
AL,Blount County,01009,57.322,54.61,0.89,0,0.24,0.24,0.98,0,0.12,0,57.08
AL,Bullock County,01011,10.914,2.3,0.08,0,0.58,0.03,0.14,0,0.06,0,3.19
AL,Butler County,01013,20.947,2.7,0.28,0.3,0.03,0.31,0.4,0.5,0,0,4.52
AL,Calhoun County,01015,118.572,23.3,0.51,0.97,3.44,0.65,0.32,0.02,0.1,0,29.31
AL,Chambers County,01017,34.215,4.31,0.71,0,0.17,0.03,0.18,0,0,0,5.4
AL,Cherokee County,01019,25.989,3.49,0.52,0,1.18,0.06,0.28,0,0.01,0,5.54
AL,Chilton County,01021,43.643,4.89,0.74,0.35,1.12,0.03,0.18,0,0.01,0,7.32
AL,Choctaw County,01023,13.859,1.36,0.62,40.76,0,0.03,0.09,0.03,0,0,42.89
AL,Clarke County,01025,25.833,3.15,0.38,20.22,0.02,0.05,0.08,0.06,0.35,0,24.31
AL,Clay County,01027,13.932,1.66,0.48,0,0.04,0.02,0.3,0.01,0,0,2.51
AL,Cleburne County,01029,14.972,0.56,0.77,0,0.16,0,0.3,0,0,0,1.79
AL,Coffee County,01031,49.948,7.6,0.72,1.13,3.51,0.16,0.8,0.74,0,0,14.66
AL,Colbert County,01033,54.428,8.79,0.27,69.75,1.78,0.41,0.29,0,0.73,1262.3,1344.32
AL,Conecuh County,01035,13.228,1.69,0.32,0,0.06,0.03,0.16,0.14,0,0,2.4
AL,Coosa County,01037,11.539,0.3,0.43,0,0.01,0.02,0.05,0,0.12,0,0.93
AL,Covington County,01039,37.765,4.95,0.88,0.05,1.84,0.12,0.59,0.1,0.05,1.74,10.32
AL,Crenshaw County,01041,13.906,2.05,0.19,0,0.23,0.02,0.67,0,0,0,3.16
AL,Cullman County,01043,80.406,31.05,0.24,2.26,2.16,0.09,2.05,0,0.03,0,37.88
AL,Dale County,01045,50.251,6.85,0.69,0,2,0.16,0.42,0.05,0.08,0,10.25
AL,Dallas County,01047,43.82,5.9,0.64,32.33,2.28,0.14,0.3,7.14,0.39,0,49.12
AL,De Kalb County,01049,71.109,7.11,1.32,0.77,0.39,0.19,2.06,0,0.1,0,11.94
AL,Elmore County,01051,79.303,13.35,0.42,0,1.04,0.52,0.17,0.05,0.47,0,16.02
AL,Escambia County,01053,38.319,5.68,0.63,35.13,2.91,0.11,0.14,0.03,0.58,0,45.21
AL,Etowah County,01055,104.43,20.37,0.31,9.21,0.25,0.42,0.42,0.31,0.35,114.66,146.3
AL,Fayette County,01057,17.241,2.03,0.52,1.1,0.14,0.03,0.16,0.04,0.63,0,4.65
AL,Franklin County,01059,31.704,4.57,0.51,0,0.07,0.08,0.75,0,0.45,0,6.43
AL,Geneva County,01061,26.79,2,0.76,0,3.64,0.02,0.8,0.13,0.1,0,7.45
AL,Greene County,01063,9.045,1.1,0.35,0.03,0.1,0.02,0.21,9.84,0,354.71,366.36
AL,Hale County,01065,15.76,1.71,0.2,0.02,0.03,0.06,0.29,17.83,0.11,0,20.25
AL,Henry County,01067,17.302,1.81,0.26,0.54,3.57,0.03,0.28,0,0,0,6.49
AL,Houston County,01069,101.547,16.79,1.37,0.17,9.65,0.42,0.34,0,0,89.3,118.04
AL,Jackson County,01071,53.227,11.37,0.82,8.91,0.89,0.25,0.71,0,0.09,1044.42,1067.46
AL,Jefferson County,01073,658.466,75.86,0.46,0.5,0.1,2.38,0.07,0.46,1.5,0,81.33
AL,Lamar County,01075,14.564,1.51,0.27,0.11,0.03,0.06,0.1,0,0,0,2.08
AL,Lauderdale County,01077,92.709,12.05,1.19,0,3.47,0.31,0.46,0.02,0,0,17.5
